"COMPANYNUMBER","EQUIPMENTNUMBER","DESC25A","DESC25B","DESC25C","SERIALNUMBER","MODELNO","EQUIPSTATCDE","DEPARTMENTNO","ITEMCLASS","JOBNUMBER","WHSE","MODELYR"
1,"12580","GMC","1500","","1GTEC14V11E901391","6400","7",2,110,"300970","",2001
1,"12590","FORD","F150","","1FTRF17WXYKB42605","4220","2",2,110,"300970","OOS",2000
1,"12610","GMC","SIERRA 3500","SERVICE","1GTGC33R4YF419091","6480","7",2,205,"300970","OOS",2000
1,"12650","CHEVROLET","SILVERADO","","1GBGC34R0YF432214","6000","2",2,110,"300970","",2000
1,"12660","GMC","1500","","1GTEC14VX2Z900461","6000","7",2,110,"300970","",2002
1,"12680","GMC","SIERRA","","1GTHC29U43E209261","6400","7",22,110,"302970","",2003
1,"12690","GMC","SIERRA","","1GTEC14X63Z101196","5000","7",2,110,"300970","",2003
1,"12700","GMC","SIERRA","1500","1GTEC14V33E286894","5000","2",32,110,"303970","",2003
1,"12730","GMC","1500","","1GTEC14V92Z900306","8000","2",32,110,"303970","",2002
1,"12760","GMC","SIERRA","C1500","1GTEC19T24Z334726","8000","7",22,110,"302970","",2004
1,"12820","GMC","SIERRA C1500","","1GTEC14V85Z211782","6400","7",22,110,"302970","",2005
1,"12880","GMC","SIERRA","C1500","1GTHK24U56E119762","5999","7",2,110,"300970","",2006
1,"12910","FORD","F150","","1FTRX12W26KA89853","5000","7",2,110,"300970","",2006
1,"12920","FORD","F150","","1FTRX12W46FA21885","4000","7",2,110,"300970","",2006
1,"12930","FORD","F150","","1FTRX12W96KA94144","5000","7",2,110,"300970","",2006
1,"12990","FORD","RANGER","","1FTYR10D66PA90420","3311","7",2,110,"300970","",2006
1,"13000","FORD","RANGER","","1FTYR10D06PA29032","6000","5",12,110,"301970","",2006
1,"13010","FORD","RANGER","","1FTYR10D66PA32498","3080","7",2,110,"300970","",2006
1,"13020","FORD","RANGER","","1FTYR10D36PA79388","3080","7",2,110,"300970","",2006
1,"13030","FORD","RANGER","","1FTYR10DX6PA85169","4000","7",22,110,"302970","",2006
1,"13040","FORD","RANGER","","1FTYR10D86PA69035","4000","7",22,110,"302970","",2006
1,"13050","FORD","RANGER","","1FTYR14D07PA29754","4000","7",22,110,"302970","",2007
1,"13060","FORD","RANGER","","1FTYR14D97PA20230","4000","7",22,110,"302970","",2007
1,"13070","FORD","RANGER","","1FTYR14D87PA19988","4000","5",12,110,"301970","",2007
1,"13090","FORD","RANGER EXT","","1FTYR14D47PA45312","5999","7",2,110,"300970","",2007
1,"13100","FORD","RANGER","","1FTYR14D07PA40897","6000","7",22,110,"302970","",2007
1,"13110","FORD","F150","","1FTRX12W17FA50827","6000","7",2,110,"300970","",2007
1,"13130","FORD","F150","","1FTRX12W67NA12094","6000","7",12,110,"301970","",2007
1,"13140","FORD","F150","","1FTRF12W07KB83847","4608","7",2,110,"300970","",2007
1,"13150","FORD","F150","","1FTRX12W27NA14845","4831","7",32,110,"303970","",2007
1,"13210","CHEVROLET","SILVERADO","","1GCHC24U67E165728","5999","7",2,110,"300970","",2007
1,"13220","FORD","F150","","1FTRF12W66KC40115","5480","7",2,110,"300970","",2006
1,"13230","FORD","F150","","1FTRF12W26KC47627","5050","7",2,110,"300970","",2006
1,"14010","GMC","SIERRA","1500","2GTEC19CX71514484","4898","7",2,110,"300970","",2007
1,"14050","FORD","F150","","1FTRF12W17KC02602","4870","7",2,110,"300970","",2007
1,"14060","FORD","F150","","1FTRF12WX7KC02601","6000","7",2,110,"300970","",2007
1,"14070","FORD","F150","","1FTRF12WX7KC18992","6800","7",22,110,"302970","",2007
1,"14080","FORD","F150","","1FTRF12W07KC00288","6800","7",22,110,"302970","",2007
1,"14090","FORD","F150","","1FTRF12W27KC32742","6800","7",22,110,"302970","",2007
1,"14100","FORD","F150","","1FTRF12W47KC24934","6800","7",22,110,"302970","",2007
1,"14110","FORD","F150","","1FTRF12W07KC32741","6000","7",22,110,"302970","",2007
1,"14130","FORD","F150","","1FTRF122X6NB58917","6000","7",2,110,"300970","OOS",2006
1,"14140","FORD","F150","","1FTRF12W37KC19255","4820","7",2,110,"300970","OOS",2007
1,"14170","FORD","F150","","1FTRF12267KC54062","4443","7",82,110,"308970","",2007
1,"14190","CHEVY VAN","","","1GAHG39K981225746","8000","7",22,110,"302970","",2008
1,"14200","FORD","F150","","1FTRF12298KD80014","6000","7",2,110,"300970","OOS",2008
1,"14220","FORD","F150","","1FTRX12W58FB69935","8000","5",12,110,"301970","",2008
1,"14230","GMC","SIERRA","1500","1GTEC14C49Z900349","4790","7",2,110,"300970","",2009
1,"14240","FORD","F150","","1FTRF12W69KC79310","6750","5",32,110,"303970","",2009
1,"14290","CHEVROLET","1500","","1GCNCPE00BZ133290","4586","5",52,110,"305970","TAHOE",2011
1,"14320","CHEVROLET","SILVERADO","1500","1GCNCPEX4BZ269399","4900","5",32,110,"303970","",2011
1,"14330","CHEVROLET","SILVERADO","1500","1GCNCPEX9BZ265400","5999","5",122,110,"312970","",2011
1,"14340","CHEVY","SILVERADO","1500","1GCNCPEX3BZ266705","6000","7",22,110,"302970","",2011
1,"14350","CHEVROLET","SILVERADO","1500","1GCNCPE01BZ306234","6000","5",52,110,"305970","",2011
1,"14370","CHEVROLET","SILVERADO","","1GCNCPE01BZ323468","4619","5",42,110,"304970","",2011
1,"14380","CHEVROLET","SILVERADO","","1GB0CVCG8BF206622","6105","5",32,110,"303970","",2011
1,"14390","CHEVROLET","SILVERADO 2500","","1GC0CXCG9BF103328","6000","7",2,130,"300970","",2011
1,"14400","FORD","F150","","1FTRF122X7KC37927","4443","2",32,110,"303970","",2007
1,"14420","CHEVROLET","SILVERADO","","1GCNCPEAXBZ419074","4564","5",102,110,"310970","",2011
1,"14430","CHEVROLET","SILVERADO","1500","1GCNCPEA3BZ377847","4497","5",122,110,"312970","",2011
1,"14440","CHEVROLET","SILVERADO","1500","1GCNCPEX6BZ364143","4323","5",32,110,"303970","",2011
1,"14450","CHEVROLET","SILVERADO","1500","1GCNCPEA5BZ380586","4530","5",122,110,"312970","",2011
1,"14470","CHEVROLET","SILVERADO","1500","1GCNCPEX0BZ353431","4323","5",32,110,"303970","",2011
1,"14500","CHEVROLET","1500","","1GCNCPEX7BZ161407","4315","5",102,110,"310970","",2011
1,"14510","CHEVROLET","SILVERADO","1500","1GCNCPEX9BZ130093","6000","6",22,110,"302970","",2011
1,"14540","CHEVROLET","SILVERADO","","1GCNCPEA6BZ391404","5500","7",22,110,"302970","",2011
1,"14550","CHEVROLET","SILVERADO","","1GCNCPEA4BZ449445","4530","5",102,110,"310970","",2011
1,"14560","CHEVROLET","SILVERADO","1500","1GCNCPEA0BZ449037","4530","5",2,110,"300970","OOS",2011
1,"14570","CHEVROLET","","","1GCRCSE07BZ418508","6900","7",22,110,"302970","",2011
1,"14590","CHEVROLET","SILVERADO","1500","1GCNCPEA6CZ151030","4522","5",102,110,"310970","",2012
1,"14600","CHEVROLET","SILVERADO","1500","1GCNCPEA0CZ149113","4522","5",52,110,"305970","TAHOE",2012
1,"14610","CHEVROLET","SILVERADO","1500","1GCNCPEA2CZ129848","4522","7",2,110,"300970","",2012
1,"14630","CHEVROLET","SILVERADO","1500","1GCNCPEAXCZ123263","6000","5",22,110,"302970","",2012
1,"14640","CHEVY","SILVERADO","1500","1GCNCPEA5CZ263804","","5",32,110,"303970","",2012
1,"14650","CHEVROLET","SILVERADO","1500","1GCNCPEA7CZ278465","4522","5",102,110,"310970","",2012
1,"14660","CHEVROLET","SILVERADO","1500","1GCNCPEA2CZ266529","4584","5",122,110,"312970","",2012
1,"14670","FORD","F150","","1FTRW14W67FB76701","6900","7",2,120,"300970","",2007
1,"12410","GMC","SIERRA","2500","1GDHC24U11E230746","5000","7",12,130,"301970","",2001
1,"12430","GMC","SIERRA","2500","1GDHC24U71Z276512","4550","7",2,130,"300970","",2001
1,"12550","GMC","SIERRA","2500","1GDHC24UX2Z133698","5980","7",2,130,"300970","",2002
1,"12780","CHEVROLET","2500","","1GCHC24U95E103642","5999","7",2,130,"300970","",2005
1,"12800","GMC","SIERRA","2500","1GTHC24U25E172916","5123","7",42,130,"304970","",2005
1,"12830","GMC","SIERRA","2500","1GTHC24U95E217382","6500","7",2,130,"300970","",2005
1,"12850","GMC","SIERRA","2500","1GTHC24UX5E295153","6500","7",22,130,"302970","",2005
1,"12860","GMC","SIERRA","2500","1GTHC24U45E291664","9200","7",2,130,"300970","",2005
1,"12900","GMC","SIERRA","2500","1GDHC24U85E336827","6080","7",2,130,"300970","",2005
1,"12940","GMC","SIERRA","2500","1GTHC24U95E338459","5999","7",2,130,"300970","",2005
1,"12950","GMC","SIERRA","2500","1GTHC24U55E342041","5035","2",32,130,"303970","",2005
1,"12960","GMC","SIERRA","2500","1GTHC24U45E342659","6000","7",12,130,"301970","",2005
1,"12970","GMC","SIERRA","2500","1GTHC24U15E342568","6000","7",2,130,"300970","",2005
1,"12980","GMC","SIERRA","2500","1GTHK29D76E176635","6493","2",32,130,"303970","",2006
1,"13170","FORD","F250","","1FTNF20547EA83862","5271","5",42,130,"304970","",2007
1,"14000","GMC","SIERRA","2500","1GTHC296X7E603340","6229","7",2,130,"300970","",2007
1,"14020","GMC","SIERRA","2500","1GTHC24K07E518687","5248","7",32,130,"303970","",2007
1,"14120","GMC","SIERRA","2500","1GDHC24K28E180772","6000","5",22,130,"302970","",2008
1,"14150","FORD","F250","","1FTSW21PX5EB12345","10000","7",2,140,"300970","",2005
1,"14160","CHEVROLET","DURAMAX","","1GCHK23265F904316","6684","7",2,130,"300970","OOS",2005
1,"14300","CHEVROLET","SILVERADO 2500","","1GC2CVCG2BZ112609","6000","5",2,130,"300970","",2011
1,"14310","CHEVROLET","SILVERADO","2500","1GB3CVBK4AF135453","6000","5",22,130,"302970","",2010
1,"14460","CHEVROLET","SILVERADO","2500","1GC0CVCG3BF242312","9300","7",22,130,"302970","",2011
1,"14480","CHEVROLET","SILVERADO","2500","1GC0CVCG9BF176672","9300","2",22,130,"302970","",2011
1,"14490","CHEVROLET","SILVERADO","2500","1GCNCPEX1BZ358783","4322","7",22,130,"302970","",2011
1,"14520","CHEVROLET","SILVERADO","2500","1GC0CVCG2BF190249","20000","5",32,130,"303970","",2011
1,"14530","CHEVROLET","SILVERADO","2500","1GC0CVCG8BF188263","9200","5",52,130,"305970","",2011
1,"14620","CHEVROLET","SILVERADO","2500","1GC2CVCG7CZ171141","6038","2",22,130,"302970","",2012
1,"12840","GMC","SIERRA","2500","1GTHK24U05E296282","5075","7",2,140,"300970","",2005
1,"12870","CHEVROLET","SILVERADO","2500","1GCHK24U66E114182","5344","7",2,140,"300970","",2006
1,"12890","GMC","2500","","1GTHK23234F268999","6561","7",42,140,"304970","",2004
1,"14250","CHEVROLET","2500HD","","1GBHC24U73Z174820","8000","7",2,150,"300970","",2003
1,"14280","CHEVROLET","1500","","1GCNCPE0XBZ219996","4586","5",52,110,"305970","",2011
1,"14360","CHEVY","SILVERADO","PLUMBER","1GB0CVCGXBF176457","8000","5",12,150,"301970","",2011
1,"14410","CHEVROLET","1500","","1GCNCPEA1BF171296","8000","5",22,150,"302970","",2011
1,"14580","CHEVROLET","SILVERADO","1500","1GCNCPEX0BZ447597","6400","5",32,110,"303970","",2011
1,"25310","GMC","SIERRA","3500","1GDKC34FXYF438917","20000","2",32,200,"303970","",2000
1,"20500","INTERNATIONAL","S1900","","1HTLDUYP4FHA12470","45000","2",12,211,"301970","",1985
1,"22230","INTERNATIONAL","1700","","1HTLDMJP2GHA15489","54999","7",2,211,"300970","",1986
1,"22310","INTERNATIONAL","S1900","","1HTLDMJPXHHA15077","46000","7",2,211,"300970","",1986
1,"22350","INTERNATIONAL","S1954","","1HTLDDCP5HH524004","25999","7",2,210,"300970","OOS",1987
1,"22360","INTERNATIONAL","S1954","","1HTLDDCN2HHA26246","46000","2",12,211,"301970","",1987
1,"22540","FORD","F450","","2FDLF47M3LCB23652","25999","7",2,210,"300970","",1990
1,"22860","INTERNATIONAL","M1754","","1HTLCZVP2JH566715","25999","2",12,210,"301970","",1988
1,"22880","INTERNATIONAL","M1754","","1HTLCZVM5JH552412","26000","5",2,210,"300970","OOS",1988
1,"22900","INTERNATIONAL","M1954","","1HTLDMJLOHHA19216","45000","7",2,210,"300970","OOS",1987
1,"22990","INTERNATIONAL","1824","","1HTAR18B9BHB16636","40000","7",62,211,"306970","OOS",1980
1,"23120","FORD","F450","CREW","2FDKF37G7NCA09205","25999","2",32,210,"303970","OOS",1992
1,"23170","INTERNATIONAL","S1754","","1THLCZVP6JH564806","46000","7",2,211,"300970","",1988
1,"23510","INTERNATIONAL","S1900","","1HSLRMJL0EHA22814","54999","2",2,211,"300970","",1984
1,"23570","INTERNATIONAL","S1900","","1HTLDZ4NXJH576776","54999","2",2,211,"304970","OOS",1988
1,"23690","FORD","F800","","1FDPK84P3LVA33608","35000","7",2,211,"300970","",1990
1,"23840","INTERNATIONAL","4900","","1HTSDZ7N5LH277299","45000","7",2,211,"300970","",1990
1,"23960","INTERNATIONAL","4900","","1HTSDZ7NXLH256156","54999","7",2,211,"300970","",1990
1,"23990","INTERNATIONAL","4900","","1HTSDZ7N7LH236687","45000","7",22,211,"302970","",1990
1,"24000","INTERNATIONAL","8100","","1HSHEAUN0SH680803","54999","7",32,211,"303970","OOS",1995
1,"24010","INTERNATIONAL","4900","","1HTSDZ7N8LH219154","46000","7",2,211,"300970","",1990
1,"24070","INTERNATIONAL","4900","CREW","1HTSDAAN9SH600813","45000","7",2,211,"300970","",1995
1,"24090","FORD","F350","","1FDWF36F3YEB98489","26000","2",82,210,"308970","",2000
1,"24110","INTERNATIONAL","4900","","1HTSDAAN0SH600814","54999","7",2,211,"300970","",1995
1,"24170","INTERNATIONAL","","","1HTHCGER8MH311454","54999","7",2,211,"300970","OOS",1991
1,"24200","INTERNATIONAL","4900","","1HTSDPPN4PH529862","54900","7",2,211,"300970","",1993
1,"24300","GMC","SIERRA 3500HD","","1GDKC34FXYF500879","25999","7",2,210,"300970","OOS",2000
1,"24420","INTERNATIONAL","4900","","1HTSDAANXSH682034","54999","2",22,211,"302970","",1995
1,"24470","FORD","CREW","","1FDLF47F6SEA04858","25999","7",2,210,"300970","",1995
1,"24640","FORD","F800","","1FDXF80C6SVA31101","45000","7",2,211,"300970","",1995
1,"24650","INTERNATIONAL","4900","","1HTSDPPN6PH488487","45000","7",32,210,"303970","SOLD",1993
1,"24660","INTERNATIONAL","4900","CREW","1HTSDPPN7PH500565","25999","2",52,210,"305970","OOS",1993
1,"24720","GMC","C6H042","","1GDG6H1J1SJ513639","22000","7",2,210,"300970","",1995
1,"24740","GMC","C6H042","","1GDG6H1J8SJ513136","25999","7",2,210,"300970","",1995
1,"24750","GMC","C6H042","","1GDG6H1J4SJ516356","26000","7",52,210,"305970","SOLD",1995
1,"24780","GMC","C6H042","","1GDG6H1J7SJ508882","22000","2",22,210,"302970","",1995
1,"24790","GMC","C6H042","","1GDG6H1J4SJ513991","25999","7",32,210,"303970","",1995
1,"24830","GMC","C6H042","","1GDG6H1J6SJ513720","26000","2",32,210,"303970","",1995
1,"24840","GMC","C6H042","","1GDG6H1J0SJ517178","26000","2",12,210,"301970","",1995
1,"24870","GMC","C6H042","","1GDG6H1J9SJ513095","25999","7",2,210,"300970","OOS",1995
1,"24880","GMC","C6H042","","1GDG6H1J8SJ508342","26000","7",2,210,"300970","",1995
1,"24910","INTERNATIONAL","8100","","1HSHBADN9SH203473","54999","7",2,211,"300970","",1995
1,"24920","INTERNATIONAL","8100","","1HSHBAUR8RH618118","54999","7",2,211,"300970","",1994
1,"24930","INTERNATIONAL","4700","","1HTSCAAN6SH690151","45000","7",2,211,"300970","",1995
1,"24940","INTERNATIONAL","4700","","1HTSCAAN4SH690150","45000","7",32,210,"303970","SOLD",1995
1,"24980","INTERNATIONAL","4900","","1HTSDAAL7TH385917","25999","2",2,210,"300970","",1996
1,"25000","INTERNATIONAL","4900","","1HTSDAAL3TH385915","45000","7",32,210,"303970","",1994
1,"25030","INTERNATIONAL","4700","","1HTSCAAM6TH230142","45000","7",2,211,"300970","",1996
1,"25040","INTERNATIONAL","4700","","1HTSCAAM1VH465275","45500","7",2,211,"300970","",1997
1,"25050","INTERNATIONAL","4700","","1HTSCAAN2VH432343","45000","7",32,211,"303970","",1996
1,"25090","GMC","C6H042","","1GDG6H1J2SJ516985","26000","7",32,210,"303970","SOLD",1995
1,"25100","GMC","C6H042","","1GDG6H1JXSJ516149","25999","2",32,210,"303970","OOS",1995
1,"25110","GMC","C6H042","","1GDG6H1J7SJ516657","20000","7",2,210,"300970","OOS",1995
1,"25120","GMC","C6H042 TOPKICK","","1GDG6H1J3SJ516848","25999","7",2,210,"300970","",1995
1,"25130","GMC","C6H042","TOPKICK","1GDG6H1J2SJ508417","26000","2",2,210,"300970","",1995
1,"25140","GMC","C6H042","TOPKICK","1GDG6H1J2SJ516999","25999","7",102,210,"310970","",1995
1,"25160","GMC","C6H042","TOPKICK","1GDG6H1J6SJ516908","25999","2",2,210,"300970","OOS",1995
1,"25170","INTERNATIONAL","8100","","1HSHBAUR9SH627447","54999","7",2,211,"300970","",1995
1,"25180","INTERNATIONAL","8100","","1HSHBAHNXWH506519","54999","5",2,211,"300970","OOS",1998
1,"25190","GMC","C6H042","","1GDG6H1J3SJ507955","25099","7",32,210,"303970","SOLD",1995
1,"25220","GMC","C6H042","TOPKICK","1GDG6H1J1SJ508960","25999","7",2,210,"300970","",1995
1,"25230","GMC","TOPKICK","C6H042","1GDG6H1J3SJ516946","25999","2",32,210,"303970","",1995
1,"25290","INTERNATIONAL","8100","","1HSHCAZR6RH517925","75000","7",2,211,"300970","",1994
1,"25300","GMC","SIERRA 3500","CREW","3GDKC34F11M101395","6140","5",32,205,"303970","OOS",2001
1,"25330","INTERNATIONAL","8100","","1HSHBAUN6SH693144","54999","7",2,211,"300970","",1995
1,"25390","GMC","3500","","3GDKC34G21M100524","26000","2",32,205,"303970","",2001
1,"25410","GMC","3500HD","CREW","3GDKC34G92M112249","25999","2",32,205,"303970","",2002
1,"25420","GMC","3500HD","CREW","3GDKC34G92M114695","25999","7",2,205,"300970","",2002
1,"25430","GMC","3500","HD","3GDKC34GX2M109103","25999","7",2,210,"300970","",2002
1,"25440","GMC","3500 HD","CREW","3GDKC34GX2M112289","25999","7",2,205,"300970","",2002
1,"25450","INTERNATIONAL","8100","","1HSHBAUN5SH693152","54999","7",2,211,"300970","",1995
1,"25460","INTERNATIONAL","8100","","1HSHBAUN2SH693142","54995","7",2,211,"300970","",1995
1,"25470","FORD","F450","CREW","1FDXF46S4YEE36986","15000","7",2,205,"300970","SOLD",2000
1,"25480","FREIGHTLINER","FL70","","1FV3HFAAXXHA57647","35000","7",2,270,"300970","",1999
1,"25500","INTERNATIONAL","8100","","1HSHEAUNXSH693146","54999","7",32,210,"303970","SOLD",1995
1,"25520","GMC","SIERRA 3500","SERVICE","3GDKC34G82M115563","25999","7",32,210,"303970","SOLD",2002
1,"25530","GMC","SIERRA","3500","3GDKC34G12M115419","25999","2",2,205,"300970","",2002
1,"25550","INTERNATIONAL","8100","","1HSHBAUN6SH693158","54999","7",2,230,"300970","",1995
1,"25610","FREIGHTLINER","FI70","","1FV6HFAA9YHB19523","45000","5",102,270,"310970","",2000
1,"25750","INTERNATIONAL","S4900","","1HTSDAAN7VH436062","35000","2",2,211,"300970","OOS",1997
1,"25790","INTERNATIONAL","4700","","1HTSLABM9WH493180","25999","7",2,210,"300970","",1998
1,"25830","GMC","SIERRA C3500","CREW","1GDJC34234E289372","25999","5",12,205,"301970","",2004
1,"25840","GMC","SIERRA C3500","CREW","1GDJC34224E306565","26000","4",2,205,"300970","OOS",2004
1,"25900","GMC","SIERRA C3500","CREW","1GDJC34224E286639","15000","7",42,205,"304970","",2004
1,"25910","GMC","3500","CREW","1GDJC34284E366494","25999","4",22,205,"300970","OOS",2004
1,"25920","INTERNATIONAL","8100","","1HSHBAHNXTH287296","46000","7",2,211,"300970","",1996
1,"25930","INTERNATIONAL","8100","","1HSHBAHN1VH474588","46000","7",2,211,"300970","OOS",1997
1,"25940","GMC","SIERRA 3500","CREW","1GDJC34U84E246597","25999","7",2,205,"300970","OOS",2004
1,"25950","CHEVROLET","SILVERADO","CREW","1GBJC34244E329418","25999","7",2,205,"300970","",2004
1,"26010","INTERNATIONAL","8100","","1HSHBAHN4WH551889","46000","7",2,211,"300970","",1998
1,"26020","INTERNATIONAL","8100","","1HSHBAHN0WH551890","46000","7",2,211,"300970","",1998
1,"26030","INTERNATIONAL","8100","","1HSHBAHN7XH653107","46000","7",2,211,"300970","",1999
1,"26060","GMC","3500","CREW","1GDJC34U75E302532","25999","5",62,205,"306970","TUC",2005
1,"26080","INTERNATIONAL","4700","","1HTSCAAM02H409727","18000","5",102,210,"310970","",2002
1,"26090","INTERNATIONAL","4700","","1HTSCAAM22H409762","25999","7",2,210,"300970","",2002
1,"26300","INTERNATIONAL","4700","","1HTSCAAM02H409582","25999","5",12,210,"301970","",2002
1,"26310","FORD","F650","VACMASTER 4000","3FRNF65F06V230614","25999","7",2,295,"300970","",2006
1,"26320","INTERNATIONAL","4700","","1HTSCAAM12H409588","25999","7",2,210,"300970","",2002
1,"26340","INTERNATIONAL","4900","","1HTSDAALX1H376982","25999","7",2,210,"300970","",2001
1,"26360","INTERNATONAL","4900","","1HTSDAAL31H376984","25999","5",12,210,"301970","",2001
1,"26380","INTERNATIONAL","4700","","1HTSCAAM9XH617046","25999","2",2,210,"300970","",1999
1,"26600","GMC","DURAMAX 3500","CREW","1GDJC34D76E261076","25999","5",32,205,"303970","",2006
1,"26610","GMC","DURAMAX 3500","CREW","1GDJC34D26E263379","25999","4",22,205,"300970","OOS",2006
1,"26630","GMC","DURAMAX 3500","CREW","1GDJC34D87E123967","25999","5",22,205,"302970","",2006
1,"26670","INTERNATIONAL","8100","","1HSHBAHN8XH215213","54999","7",2,211,"300970","",1999
1,"26680","INTERNATIONAL","8100","","1HSHBAHN4XH626026","54999","5",12,211,"301970","",1998
1,"26690","INTERNATIONAL","8100","","1HSHBAHN1XH648551","54999","7",2,211,"300970","",1999
1,"26760","INTERNATIONAL","4300","","1HTMMAAL04H652549","25999","7",2,210,"300970","",2003
1,"26840","INTERNATIONAL","4300","","1HTMMAAL14H658280","25999","7",22,210,"302970","",2004
1,"26850","GMC","DURAMAX 3500","CREW","1GDJC34DX6E286778","25999","5",12,205,"301970","",2006
1,"26860","GMC","3500","CREW","1GDJC34D56E286168","25999","4",2,205,"300970","OOS",2006
1,"26870","INTERNATIONAL","8100","","1HSHBAHN7XH661935","54999","5",22,211,"302970","",1999
1,"26880","GMC","SIERRA 3500","CREW","1GDJC34U17E124992","11400","5",12,205,"301970","",2007
1,"26890","INTERNATIONAL","4300","","1HTMMAALX4H658276","26000","7",2,210,"300970","",2004
1,"26900","INTERNATIONAL","4300","","1HTMMAAL64H652555","26000","7",2,210,"300970","",2003
1,"26950","GMC","SIERRA 3500","CREW","1GDJC34D17E186103","25999","5",12,205,"301970","",2007
1,"26960","CHEVROLET","CV","","1GBJC34D97E150944","25999","7",2,210,"300970","RB",2007
1,"26970","CHEVROLET","CV","","1GBJC34D17E184988","25999","5",12,210,"301970","",2007
1,"26980","GMC","SIERRA","CREW","1GDJC34D37E104324","25999","5",22,205,"302970","",2007
1,"26990","GMC","SIERRA 3500","CREW","1GDJC34D67E128617","26000","7",2,205,"300970","OOS",2007
1,"27010","INTERNATIONAL","8100","","1HSHBAHN4XH627760","54900","7",2,211,"300970","",1999
1,"27140","CHEVROLET","C4500","KODIAK","1GBE4C1927F425997","18000","7",2,250,"300970","OOS",2007
1,"27150","GMC","TOPKICK C4500","","1GDE4C1947F420470","18000","5",12,250,"301970","",2007
1,"27160","GMC","TOPKICK C4500","CREW","1GDE4C1957F420557","18000","5",102,205,"310970","",2007
1,"27170","GMC","TOPKICK 3500","CREW","1GDJC34617E584655","25999","5",22,205,"302970","",2007
1,"27200","INTERNATIONAL","4300","","1HTMMAAL39H082148","26000","7",2,210,"300970","OOS",2009
1,"27210","INTERNATIONAL","4300","","1HTMMAAL59H082149","26000","5",42,210,"304970","",2009
1,"27220","INTERNATIONAL","4300","","1HTMMAAL19H082150","26000","7",2,210,"300970","",2009
1,"27240","GMC","SIERRA C3500","YARD FUEL TRUCK","1GDJC34KX8E155058","10000","5",102,205,"310970","OOS",2008
1,"27250","INTERNATIONAL","7500","","1HTWLAZN29J093782","54999","2",2,211,"300970","",2009
1,"27260","INTERNATIONAL","4300","","1HTMMAAL49H108403","26000","5",52,210,"305970","TAHOE",2009
